provider,gate,n_items,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p
anthropic,appeal,20,-0.01666666666666667,-0.05,0.0,1.0
anthropic,moderation,20,-0.1,-0.25,0.0,0.5
anthropic,resume,20,0.06666666666666668,-0.1,0.2416666666666667,0.6875
google,appeal,20,0.0,0.0,0.0,1.0
google,moderation,20,-0.075,-0.18333333333333335,0.0,0.25
google,resume,20,2.7755575615628915e-18,-0.06666666666666668,0.1,1.0
openai,appeal,20,0.0,0.0,0.0,1.0
openai,moderation,20,0.016666666666666663,-0.075,0.14166666666666666,1.0
openai,resume,20,0.01666666666666666,-0.01666666666666668,0.05833333333333333,1.0
anthropic,__all__,60,-0.016666666666666666,-0.09444444444444443,0.06111111111111111,1.0
google,__all__,60,-0.025,-0.07222222222222222,0.013888888888888892,0.21875
openai,__all__,60,0.011111111111111108,-0.02222222222222223,0.05555555555555555,1.0
