provider,gate,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,appeal,A1_opendyslexic,20,-0.01666666666666667,-0.01666666666666667,-0.05,0.0,1.0,0.0,0
anthropic,appeal,A2_large_sans,20,-0.06666666666666668,-0.06666666666666668,-0.18333333333333335,0.0,0.5,0.05,-1
anthropic,appeal,C1_red,20,-0.03333333333333334,-0.03333333333333334,-0.1,0.0,1.0,0.05,-1
anthropic,appeal,C2_gray,20,-0.04166666666666667,-0.04166666666666667,-0.125,0.0,1.0,0.05,-1
anthropic,appeal,H1_highlight,20,-0.05,-0.05,-0.15,0.0,1.0,0.05,-1
anthropic,appeal,L1_cramped,20,-0.04166666666666667,-0.04166666666666667,-0.125,0.0,1.0,0.05,-1
anthropic,appeal,T1_serif,20,-0.03333333333333334,-0.03333333333333334,-0.1,0.0,1.0,0.05,-1
anthropic,appeal,T3_sans,20,0.0,0.0,0.0,0.0,1.0,0.0,0
anthropic,appeal,T7_comic,20,0.0,0.0,0.0,0.0,1.0,0.0,0
anthropic,moderation,A1_opendyslexic,20,-0.08125,0.08125,-0.0375,0.23125,1.0,0.1,2
anthropic,moderation,A2_large_sans,20,-0.03125,0.03125,-0.05625,0.15,1.0,0.05,1
anthropic,moderation,C1_red,20,-0.09791666666666668,0.09791666666666668,-0.020833333333333332,0.25,0.625,0.1,2
anthropic,moderation,C2_gray,20,-0.13125,0.13125,0.0,0.28125,0.25,0.15,3
anthropic,moderation,H1_highlight,20,-0.06458333333333334,0.06458333333333334,-0.0375,0.19791666666666669,1.0,0.1,2
anthropic,moderation,L1_cramped,20,-0.03125,0.03125,-0.05625,0.15,1.0,0.05,1
anthropic,moderation,T1_serif,20,-0.08125,0.08125,-0.0375,0.23125,1.0,0.1,2
anthropic,moderation,T3_sans,20,-0.18125,0.18125,0.03125,0.34375,0.125,0.2,4
anthropic,moderation,T7_comic,20,-0.06458333333333334,0.06458333333333334,-0.0375,0.19791666666666669,1.0,0.1,2
anthropic,resume,A1_opendyslexic,20,0.05625,0.05625,-0.05,0.18125,0.625,0.15,1
anthropic,resume,A2_large_sans,20,0.09791666666666668,0.09791666666666668,0.014583333333333332,0.21250000000000005,0.0625,0.1,2
anthropic,resume,C1_red,20,-0.002083333333333337,-0.002083333333333337,-0.13338541666666667,0.1042187500000002,0.625,0.1,0
anthropic,resume,C2_gray,20,-0.027083333333333327,-0.027083333333333327,-0.2,0.1291666666666667,1.0,0.2,0
anthropic,resume,H1_highlight,20,0.03125,0.03125,-0.1125,0.175,0.625,0.15,1
anthropic,resume,L1_cramped,20,0.06458333333333333,0.06458333333333333,0.0,0.16458333333333333,0.25,0.1,2
anthropic,resume,T1_serif,20,-0.010416666666666668,-0.010416666666666668,-0.1125,0.10625,1.0,0.1,0
anthropic,resume,T3_sans,20,-0.010416666666666675,-0.010416666666666675,-0.18958333333333338,0.15624999999999997,0.453125,0.2,0
anthropic,resume,T7_comic,20,0.08125,0.08125,-0.09375,0.25625,0.375,0.2,2
google,appeal,A1_opendyslexic,20,0.0,0.0,0.0,0.0,1.0,0.0,0
google,appeal,A2_large_sans,20,0.0,0.0,0.0,0.0,1.0,0.0,0
google,appeal,C1_red,20,-0.01666666666666667,-0.01666666666666667,-0.05,0.0,1.0,0.0,0
google,appeal,C2_gray,20,-0.01666666666666667,-0.01666666666666667,-0.05,0.0,1.0,0.0,0
google,appeal,H1_highlight,20,0.0,0.0,0.0,0.0,1.0,0.0,0
google,appeal,L1_cramped,20,0.0,0.0,0.0,0.0,1.0,0.0,0
google,appeal,T1_serif,20,-0.05,-0.05,-0.15,0.0,1.0,0.05,-1
google,appeal,T3_sans,20,0.0,0.0,0.0,0.0,1.0,0.0,0
google,appeal,T7_comic,20,-0.025,-0.025,-0.075,0.0,1.0,0.05,-1
google,moderation,A1_opendyslexic,20,0.010416666666666668,-0.010416666666666668,-0.05625,0.024999999999999994,1.0,0.0,0
google,moderation,A2_large_sans,20,-0.08125,0.08125,0.0,0.18750000000000003,0.25,0.1,2
google,moderation,C1_red,20,-0.03125,0.03125,0.0,0.06875,0.25,0.05,1
google,moderation,C2_gray,20,-0.06458333333333334,0.06458333333333334,0.0,0.1625,0.5,0.1,2
google,moderation,H1_highlight,20,-0.05625,0.05625,0.0,0.15416666666666667,0.5,0.1,2
google,moderation,L1_cramped,20,-0.014583333333333332,0.014583333333333332,0.0,0.03749999999999999,0.5,0.05,1
google,moderation,T1_serif,20,0.010416666666666668,-0.010416666666666668,-0.05625,0.024999999999999994,1.0,0.0,0
google,moderation,T3_sans,20,-0.06458333333333333,0.06458333333333333,0.0,0.15,0.25,0.1,2
google,moderation,T7_comic,20,-0.03125,0.03125,0.0,0.09375,1.0,0.05,1
google,resume,A1_opendyslexic,20,0.16041666666666668,0.16041666666666668,0.025,0.3125,0.21875,0.15,3
google,resume,A2_large_sans,20,0.2104166666666667,0.2104166666666667,0.0625,0.37088541666666686,0.03125,0.25,5
google,resume,C1_red,20,0.15208333333333332,0.15208333333333332,0.020833333333333332,0.29791666666666666,0.21875,0.2,4
google,resume,C2_gray,20,0.16041666666666668,0.16041666666666668,0.02291666666666667,0.32083333333333336,0.21875,0.2,4
google,resume,H1_highlight,20,0.2104166666666667,0.2104166666666667,0.06875,0.3666666666666667,0.03125,0.25,5
google,resume,L1_cramped,20,0.08541666666666665,0.08541666666666665,-0.03958333333333334,0.25,0.6875,0.1,2
google,resume,T1_serif,20,0.15208333333333332,0.15208333333333332,0.0125,0.3188020833333335,0.21875,0.2,4
google,resume,T3_sans,20,0.16041666666666668,0.16041666666666668,0.04375,0.2958333333333333,0.03125,0.2,4
google,resume,T7_comic,20,0.17708333333333331,0.17708333333333331,0.04375,0.3333333333333333,0.03125,0.2,4
openai,appeal,A1_opendyslexic,20,0.008333333333333333,0.008333333333333333,0.0,0.025,1.0,0.0,0
openai,appeal,A2_large_sans,20,0.0,0.0,0.0,0.0,1.0,0.0,0
openai,appeal,C1_red,20,0.0,0.0,0.0,0.0,1.0,0.0,0
openai,appeal,C2_gray,20,0.0,0.0,0.0,0.0,1.0,0.0,0
openai,appeal,H1_highlight,20,0.008333333333333333,0.008333333333333333,0.0,0.025,1.0,0.0,0
openai,appeal,L1_cramped,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,T1_serif,20,0.03333333333333333,0.03333333333333333,0.0,0.1,1.0,0.05,1
openai,appeal,T3_sans,20,0.008333333333333333,0.008333333333333333,0.0,0.025,1.0,0.0,0
openai,appeal,T7_comic,20,0.0,0.0,0.0,0.0,1.0,0.0,0
openai,moderation,A1_opendyslexic,20,-0.1,0.1,0.0041666666666666675,0.2229166666666667,0.375,0.1,2
openai,moderation,A2_large_sans,20,-0.05833333333333335,0.05833333333333335,0.004166666666666666,0.14375,0.0625,0.05,1
openai,moderation,C1_red,20,-0.08333333333333334,0.08333333333333334,-0.04375,0.22083333333333335,0.375,0.2,2
openai,moderation,C2_gray,20,-0.08333333333333334,0.08333333333333334,0.00625,0.175,0.375,0.15,3
openai,moderation,H1_highlight,20,-0.10833333333333335,0.10833333333333335,0.00625,0.23333333333333334,0.375,0.1,2
openai,moderation,L1_cramped,20,-0.08333333333333333,0.08333333333333333,0.01875,0.17083333333333334,0.0625,0.05,1
openai,moderation,T1_serif,20,-0.11666666666666667,0.11666666666666667,0.0125,0.24583333333333335,0.375,0.1,2
openai,moderation,T3_sans,20,-0.08333333333333334,0.08333333333333334,0.00625,0.1791666666666667,0.375,0.1,2
openai,moderation,T7_comic,20,-0.10833333333333332,0.10833333333333332,0.02708333333333333,0.21875,0.0625,0.1,2
openai,resume,A1_opendyslexic,20,-0.025000000000000005,-0.025000000000000005,-0.05833333333333335,0.0020833333333333316,0.625,0.0,0
openai,resume,A2_large_sans,20,-0.058333333333333334,-0.058333333333333334,-0.12291666666666665,-0.0125,0.0625,0.1,-2
openai,resume,C1_red,20,-0.1,-0.1,-0.21458333333333335,-0.00625,0.125,0.15,-3
openai,resume,C2_gray,20,-0.125,-0.125,-0.2625,-0.00625,0.125,0.15,-3
openai,resume,H1_highlight,20,-0.09166666666666667,-0.09166666666666667,-0.20208333333333334,-0.00625,0.125,0.15,-3
openai,resume,L1_cramped,20,-0.025000000000000005,-0.025000000000000005,-0.08750000000000001,0.014583333333333332,1.0,0.1,-2
openai,resume,T1_serif,20,-0.04166666666666667,-0.04166666666666667,-0.10213541666666666,0.00625,0.375,0.15,-3
openai,resume,T3_sans,20,-0.041666666666666664,-0.041666666666666664,-0.09166666666666667,-0.004166666666666663,0.125,0.1,-2
openai,resume,T7_comic,20,-0.01666666666666667,-0.01666666666666667,-0.043750000000000004,0.002083333333333334,0.625,0.05,-1
