provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
google,models/gemini-3.5-flash,moderation,mod_bookclub_03,bookclub,3,8,7,0.875,False,0.5
google,models/gemini-3.5-flash,moderation,mod_plants_03,plants,3,8,7,0.875,False,0.5
google,models/gemini-3.5-flash,moderation,mod_restaurant_03,restaurant,3,8,1,0.125,False,0.5
google,models/gemini-3.5-flash,moderation,mod_boardgame_02,boardgame,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_boardgame_03,boardgame,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_bookclub_02,bookclub,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_car_02,car,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_car_03,car,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_fantasy_03,fantasy,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_fantasy_04,fantasy,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_framework_02,framework,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_framework_03,framework,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_gym_02,gym,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_gym_03,gym,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_movie_03,movie,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_movie_04,movie,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_parking_03,parking,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_parking_04,parking,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_phone_03,phone,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_phone_04,phone,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_acct_03,acct,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_acct_04,acct,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_data_03,data,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_data_04,data,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_fed_03,fed,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_fed_04,fed,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_mkt_03,mkt,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_mkt_04,mkt,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_sup_03,sup,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_sup_04,sup,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_wh_03,wh,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,resume,res_wh_04,wh,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,resume,res_acct_02,acct,2,8,0,0.0,False,1.5
google,models/gemini-3.5-flash,resume,res_acct_05,acct,5,8,8,1.0,False,1.5
google,models/gemini-3.5-flash,resume,res_data_02,data,2,8,0,0.0,False,1.5
google,models/gemini-3.5-flash,resume,res_data_05,data,5,8,8,1.0,False,1.5
google,models/gemini-3.5-flash,resume,res_fed_02,fed,2,8,0,0.0,False,1.5
google,models/gemini-3.5-flash,resume,res_fed_05,fed,5,8,8,1.0,False,1.5
google,models/gemini-3.5-flash,resume,res_mkt_02,mkt,2,8,0,0.0,False,1.5
google,models/gemini-3.5-flash,resume,res_mkt_05,mkt,5,8,8,1.0,False,1.5
