dimension_id,flip_direction,count,rate
confident,NO→YES,1,0.041666666666666664
confident,YES→NO,23,0.9583333333333334
emotional,NO→YES,2,0.2857142857142857
emotional,YES→NO,5,0.7142857142857143
high_risk,NO→YES,1,0.007874015748031496
high_risk,YES→NO,126,0.9921259842519685
immediate_action,NO→YES,17,0.7083333333333334
immediate_action,YES→NO,7,0.2916666666666667
persuasive,NO→YES,22,0.5945945945945946
persuasive,YES→NO,15,0.40540540540540543
professional,NO→YES,27,0.7297297297297297
professional,YES→NO,10,0.2702702702702703
trustworthy,YES→NO,160,1.0
urgent,NO→YES,35,0.8333333333333334
urgent,YES→NO,7,0.16666666666666666
