dimension_id,approval_rate_ocr,approval_rate_image,n
trustworthy,0.5277777777777778,0.9722222222222222,324
formal,0.9444444444444444,0.7407407407407407,324
high_risk,0.6944444444444444,0.691358024691358,324
confident,0.7777777777777778,0.6265432098765432,324
persuasive,0.3055555555555556,0.49074074074074076,324
immediate_action,0.25,0.2932098765432099,324
urgent,0.08333333333333333,0.08024691358024691,324
professional,0.2222222222222222,0.043209876543209874,324
emotional,0.0,0.0,324
form_dependent,0.027777777777777776,0.0,324
