sentence_id,flip_rate,n
30,0.32222222222222224,90
7,0.3111111111111111,90
23,0.26666666666666666,90
29,0.25555555555555554,90
10,0.23333333333333334,90
12,0.2222222222222222,90
15,0.2222222222222222,90
16,0.2111111111111111,90
36,0.2,90
9,0.2,90
33,0.2,90
2,0.18888888888888888,90
32,0.18888888888888888,90
25,0.18888888888888888,90
11,0.17777777777777778,90
4,0.16666666666666666,90
19,0.16666666666666666,90
20,0.15555555555555556,90
24,0.15555555555555556,90
21,0.14444444444444443,90
17,0.14444444444444443,90
28,0.14444444444444443,90
26,0.14444444444444443,90
8,0.13333333333333333,90
35,0.13333333333333333,90
18,0.12222222222222222,90
27,0.12222222222222222,90
6,0.12222222222222222,90
31,0.1111111111111111,90
3,0.1111111111111111,90
34,0.08888888888888889,90
22,0.08888888888888889,90
13,0.06666666666666667,90
14,0.05555555555555555,90
5,0.03333333333333333,90
1,0.022222222222222223,90
