sentence_id,approval_rate_text,approval_rate_image,n
20,0.5,0.6555555555555556,90
19,0.6,0.6333333333333333,90
16,0.5,0.5777777777777777,90
32,0.4,0.5666666666666667,90
36,0.4,0.5555555555555556,90
22,0.6,0.5111111111111111,90
31,0.4,0.4888888888888889,90
18,0.6,0.4777777777777778,90
34,0.4,0.4666666666666667,90
33,0.4,0.4444444444444444,90
17,0.5,0.4222222222222222,90
29,0.4,0.4111111111111111,90
10,0.2,0.4111111111111111,90
7,0.3,0.4111111111111111,90
15,0.4,0.4,90
6,0.5,0.4,90
21,0.3,0.4,90
23,0.3,0.3888888888888889,90
30,0.5,0.37777777777777777,90
4,0.4,0.36666666666666664,90
35,0.3,0.36666666666666664,90
26,0.5,0.35555555555555557,90
14,0.4,0.34444444444444444,90
13,0.4,0.3333333333333333,90
8,0.3,0.32222222222222224,90
25,0.3,0.3111111111111111,90
3,0.2,0.3111111111111111,90
24,0.2,0.3111111111111111,90
27,0.2,0.3,90
2,0.3,0.28888888888888886,90
1,0.3,0.2777777777777778,90
12,0.3,0.2777777777777778,90
5,0.3,0.26666666666666666,90
9,0.4,0.26666666666666666,90
28,0.4,0.25555555555555554,90
11,0.4,0.2222222222222222,90
